"FullName","Length","LastWriteTime"
"C:\Program Files (x86)\PACTware Consortium\PACTware 5.0\LANGUAGE\PWCLPLNG.CHN","754","05/03/2012 20:00:04"
"C:\Program Files (x86)\PACTware Consortium\PACTware 5.0\LANGUAGE\PWCLPLNG.ENG","872","05/03/2012 20:00:04"
"C:\Program Files (x86)\PACTware Consortium\PACTware 5.0\LANGUAGE\PWCLPLNG.FRA","924","05/03/2012 20:00:04"
"C:\Program Files (x86)\PACTware Consortium\PACTware 5.0\LANGUAGE\PWCLPLNG.GER","908","05/03/2012 20:00:04"
"C:\Program Files (x86)\PACTware Consortium\PACTware 5.0\LANGUAGE\PWCLPLNG.NLD","886","05/03/2012 20:00:04"
"C:\Program Files (x86)\PACTware Consortium\PACTware 5.0\LANGUAGE\PWCLPLNG.POR","964","08/07/2014 15:00:52"
"C:\Program Files (x86)\PACTware Consortium\PACTware 5.0\LANGUAGE\PWCLPLNG.RUS","888","05/03/2012 20:00:04"
"C:\Program Files (x86)\PACTware Consortium\PACTware 5.0\LANGUAGE\PWCLPLNG.SPA","908","05/03/2012 20:00:04"
"C:\Program Files (x86)\PACTware Consortium\PACTware 5.0\LANGUAGE\PWDBLNG.CHN","1004","28/05/2018 13:32:04"
"C:\Program Files (x86)\PACTware Consortium\PACTware 5.0\LANGUAGE\PWDBLNG.ENG","1500","28/05/2018 13:32:04"
"C:\Program Files (x86)\PACTware Consortium\PACTware 5.0\LANGUAGE\PWDBLNG.FRA","1810","28/05/2018 13:32:04"
"C:\Program Files (x86)\PACTware Consortium\PACTware 5.0\LANGUAGE\PWDBLNG.GER","1804","28/05/2018 13:32:04"
"C:\Program Files (x86)\PACTware Consortium\PACTware 5.0\LANGUAGE\PWDBLNG.NLD","1672","28/05/2018 13:32:04"
"C:\Program Files (x86)\PACTware Consortium\PACTware 5.0\LANGUAGE\PWDBLNG.POR","1728","28/05/2018 13:32:04"
"C:\Program Files (x86)\PACTware Consortium\PACTware 5.0\LANGUAGE\PWDBLNG.RUS","1526","28/05/2018 13:32:04"
"C:\Program Files (x86)\PACTware Consortium\PACTware 5.0\LANGUAGE\PWDBLNG.SPA","1838","28/05/2018 13:32:04"
"C:\Program Files (x86)\PACTware Consortium\PACTware 5.0\LANGUAGE\PWDCLNG.CHN","12614","20/11/2018 18:37:22"
"C:\Program Files (x86)\PACTware Consortium\PACTware 5.0\LANGUAGE\PWDCLNG.ENG","16748","26/11/2018 10:06:16"
"C:\Program Files (x86)\PACTware Consortium\PACTware 5.0\LANGUAGE\PWDCLNG.FRA","18846","20/11/2018 18:37:22"
"C:\Program Files (x86)\PACTware Consortium\PACTware 5.0\LANGUAGE\PWDCLNG.GER","19710","26/11/2018 10:06:20"
"C:\Program Files (x86)\PACTware Consortium\PACTware 5.0\LANGUAGE\PWDCLNG.NLD","17528","20/11/2018 18:37:22"
"C:\Program Files (x86)\PACTware Consortium\PACTware 5.0\LANGUAGE\PWDCLNG.POR","18268","20/11/2018 18:37:22"
"C:\Program Files (x86)\PACTware Consortium\PACTware 5.0\LANGUAGE\PWDCLNG.RUS","18158","20/11/2018 18:37:22"
"C:\Program Files (x86)\PACTware Consortium\PACTware 5.0\LANGUAGE\PWDCLNG.SPA","18344","20/11/2018 18:37:22"
"C:\Program Files (x86)\PACTware Consortium\PACTware 5.0\LANGUAGE\PWDiagnosisSTATEVIEWADDINLNG.CHN","3574","05/06/2012 10:47:12"
"C:\Program Files (x86)\PACTware Consortium\PACTware 5.0\LANGUAGE\PWDiagnosisSTATEVIEWADDINLNG.ENG","6014","12/06/2018 15:13:58"
"C:\Program Files (x86)\PACTware Consortium\PACTware 5.0\LANGUAGE\PWDiagnosisSTATEVIEWADDINLNG.FRA","5732","05/06/2012 10:47:12"
"C:\Program Files (x86)\PACTware Consortium\PACTware 5.0\LANGUAGE\PWDiagnosisSTATEVIEWADDINLNG.GER","6422","12/06/2018 14:28:48"
"C:\Program Files (x86)\PACTware Consortium\PACTware 5.0\LANGUAGE\PWDiagnosisSTATEVIEWADDINLNG.NLD","5474","05/06/2012 10:47:12"
"C:\Program Files (x86)\PACTware Consortium\PACTware 5.0\LANGUAGE\PWDiagnosisSTATEVIEWADDINLNG.POR","5702","08/07/2014 14:59:44"
"C:\Program Files (x86)\PACTware Consortium\PACTware 5.0\LANGUAGE\PWDiagnosisSTATEVIEWADDINLNG.RUS","5590","05/06/2012 10:47:12"
"C:\Program Files (x86)\PACTware Consortium\PACTware 5.0\LANGUAGE\PWDiagnosisSTATEVIEWADDINLNG.SPA","5898","05/06/2012 10:47:12"
"C:\Program Files (x86)\PACTware Consortium\PACTware 5.0\LANGUAGE\PWDIAGNOSTICSCANADDINLNG.CHN","3818","05/06/2012 10:47:12"
"C:\Program Files (x86)\PACTware Consortium\PACTware 5.0\LANGUAGE\PWDIAGNOSTICSCANADDINLNG.ENG","5994","05/06/2012 10:47:12"
"C:\Program Files (x86)\PACTware Consortium\PACTware 5.0\LANGUAGE\PWDIAGNOSTICSCANADDINLNG.FRA","5922","05/06/2012 10:47:12"
"C:\Program Files (x86)\PACTware Consortium\PACTware 5.0\LANGUAGE\PWDIAGNOSTICSCANADDINLNG.GER","6236","05/06/2012 10:47:12"
"C:\Program Files (x86)\PACTware Consortium\PACTware 5.0\LANGUAGE\PWDIAGNOSTICSCANADDINLNG.NLD","6078","05/06/2012 10:47:12"
"C:\Program Files (x86)\PACTware Consortium\PACTware 5.0\LANGUAGE\PWDIAGNOSTICSCANADDINLNG.POR","7046","08/07/2014 15:00:04"
"C:\Program Files (x86)\PACTware Consortium\PACTware 5.0\LANGUAGE\PWDIAGNOSTICSCANADDINLNG.RUS","6422","05/06/2012 10:47:12"
"C:\Program Files (x86)\PACTware Consortium\PACTware 5.0\LANGUAGE\PWDIAGNOSTICSCANADDINLNG.SPA","6882","05/06/2012 10:47:12"
"C:\Program Files (x86)\PACTware Consortium\PACTware 5.0\LANGUAGE\PWEMOLNG.CHN","1270","25/05/2012 10:11:14"
"C:\Program Files (x86)\PACTware Consortium\PACTware 5.0\LANGUAGE\PWEMOLNG.ENG","1570","05/03/2012 20:00:04"
